Altium Designer Pick and Place Locations
C:\Users\jdoct\Documents\GitHub\mrover-electrical\boards\bdcmc_25\Project Outputs for bdcmc_25\Pick Place for bdcmc25_revised.csv

========================================================================================================================
File Design Information:

Date:       26/10/24
Time:       16:27
Revision:   540c8bcd7ea8f33f8b6b583673820ae8557cc7be
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C48","CC0402KRX7R7BB104","TopLayer","CAP-0402","7020.000","3160.000","180","CAP CER 0.1UF 16V X7R 0402"
"GND","Comment","TopLayer","TEST-POINT-0001","3855.000","3990.000","0",""
"GND","Comment","TopLayer","TEST-POINT-0001","2605.000","4075.000","0",""
"EN_M2","Comment","TopLayer","TEST-POINT-0001","2210.000","4100.000","0",""
"SW_M2","Comment","TopLayer","TEST-POINT-0001","1510.000","3810.000","0",""
"FB_M2","Comment","TopLayer","TEST-POINT-0001","1655.000","4175.000","0",""
"EN_M0","Comment","TopLayer","TEST-POINT-0001","4700.000","4120.000","0",""
"FB_M0","Comment","TopLayer","TEST-POINT-0001","4185.000","4160.000","0",""
"SW_7V","Comment","TopLayer","TEST-POINT-0001","5370.000","3695.000","0",""
"FB_7V","Comment","TopLayer","TEST-POINT-0001","5356.082","4110.061","0",""
"EN_M1","Comment","TopLayer","TEST-POINT-0001","3440.000","4115.000","0",""
"SW_M1","Comment","TopLayer","TEST-POINT-0001","2765.000","3815.000","0",""
"FB_M1","Comment","TopLayer","TEST-POINT-0001","2920.000","4165.000","0",""
"SW_M0","Comment","TopLayer","TEST-POINT-0001","4015.000","3825.000","0",""
"U2","LMR16020PDDAR","TopLayer","","5602.588","3935.000","180","IC REG BUCK ADJ 2A 8SOPWR"
"F4","0467.250NRHF","TopLayer","RES-0603","5830.000","2385.000","270","FUSE BRD MT 250MA 32VAC 32VDC"
"F3","0467.250NRHF","TopLayer","RES-0603","5745.000","2390.000","270","FUSE BRD MT 250MA 32VAC 32VDC"
"F2","0467.250NRHF","TopLayer","RES-0603","5915.000","2385.000","270","FUSE BRD MT 250MA 32VAC 32VDC"
"C51","CC0603KRX5R8BB475","TopLayer","CAP-0603","6945.000","2730.000","90","CAP CER 4.7UF 25V X5R 0603"
"J10","Molex 43045-0412","TopLayer","CONN-4POS-0002","7942.560","3845.000","270","CONN HEADER VERT 4POS 3MM"
"J6","Molex 43045-0412","TopLayer","CONN-4POS-0002","7942.560","3425.000","270","CONN HEADER VERT 4POS 3MM"
"J15","Molex 43650-0315","TopLayer","43650-0315","6940.000","2073.585","180","Molex 43650-0315"
"J14","Molex 43650-0315","TopLayer","43650-0315","7485.000","2073.585","180","Molex 43650-0315"
"Q1","CSD18543Q3AT","TopLayer","IC-8VSONCLIP","7242.679","4062.480","180","MOSFET N-CH 60V 12A/60A 8VSON"
"Q2_M2","T2N7002AK,LM","TopLayer","IC-SOT23-3","2330.000","3465.000","0","MOSFET N-CH 60V 200MA SOT23"
"Q9","T2N7002AK,LM","TopLayer","IC-SOT23-3","5342.588","3965.000","90","MOSFET N-CH 60V 200MA SOT23"
"Q2_M0","T2N7002AK,LM","TopLayer","IC-SOT23-3","4855.000","3455.000","0","MOSFET N-CH 60V 200MA SOT23"
"Q2_M1","T2N7002AK,LM","TopLayer","IC-SOT23-3","3590.000","3465.000","0","MOSFET N-CH 60V 200MA SOT23"
"R9_M2","RTT021783FTH","TopLayer","RES-0402","1950.000","4110.000","270","62.5mW Thick Film Resistors 50V ±100ppm/? ±1% 178kO 0402 Chip Resistor - Surface Mount ROHS"
"R9_M1","RTT021783FTH","TopLayer","RES-0402","3210.000","4110.000","270","62.5mW Thick Film Resistors 50V ±100ppm/? ±1% 178kO 0402 Chip Resistor - Surface Mount ROHS"
"R9_M0","RTT021783FTH","TopLayer","RES-0402","4475.000","4100.000","270","62.5mW Thick Film Resistors 50V ±100ppm/? ±1% 178kO 0402 Chip Resistor - Surface Mount ROHS"
"R8_M2","RC0402FR-0759KL","TopLayer","RES-0402","1610.000","4095.000","0","RES 59K OHM 1% 1/16W 0402"
"R8_M1","RC0402FR-0759KL","TopLayer","RES-0402","2870.000","4095.000","0","RES 59K OHM 1% 1/16W 0402"
"R8_M0","RC0402FR-0759KL","TopLayer","RES-0402","4135.000","4085.000","0","RES 59K OHM 1% 1/16W 0402"
"L1_M2","CSAD1010-150M","TopLayer","IND-15U-0002","1680.000","3525.000","0","SMD MOLDING POWER CHOKE"
"L1_M1","CSAD1010-150M","TopLayer","IND-15U-0002","2940.000","3525.000","0","SMD MOLDING POWER CHOKE"
"L1_M0","CSAD1010-150M","TopLayer","IND-15U-0002","4205.000","3515.000","0","SMD MOLDING POWER CHOKE"
"C29_M2","0402N511J500CT","TopLayer","CAP-0402","1590.000","4035.000","90","CAP CER 510PF 50V C0G/NP0 0402"
"C29_M1","0402N511J500CT","TopLayer","CAP-0402","2850.000","4035.000","90","CAP CER 510PF 50V C0G/NP0 0402"
"C29_M0","0402N511J500CT","TopLayer","CAP-0402","4115.000","4025.000","90","CAP CER 510PF 50V C0G/NP0 0402"
"U1_M2","TPS54561DPRR","TopLayer","IC-10WSON","1830.000","4025.000","180","IC REG BUCK ADJ 5A 10WSON"
"U1_M1","TPS54561DPRR","TopLayer","IC-10WSON","3090.000","4025.000","180","IC REG BUCK ADJ 5A 10WSON"
"U1_M0","TPS54561DPRR","TopLayer","IC-10WSON","4355.000","4015.000","180","IC REG BUCK ADJ 5A 10WSON"
"R35","RC0402FR-0710K5L","TopLayer","RES-0402","5355.000","3870.000","180","RES 10.5K OHM 1% 1/16W 0402"
"R34","RC0402FR-07240RL","TopLayer","RES-0402","5257.588","3870.000","0","240R 0.063W 1% 0402 (1005 Metric)  SMD"
"R13","RC0603FR-0712KL","TopLayer","RES-0603","5157.588","4016.496","90","RES 12K OHM 1% 1/10W 0603"
"R12","RC0402FR-0745K3L","TopLayer","RES-0402","5767.588","4075.000","0","RES 45.3K OHM 1% 1/16W 0402"
"R11","RC0603FR-07100KL","TopLayer","RES-0603","5092.588","4016.496","270","RES SMD 100K OHM 1% 1/10W 0603"
"R10_M2","RC0402FR-0710K5L","TopLayer","RES-0402","1550.000","4075.000","90","RES 10.5K OHM 1% 1/16W 0402"
"R10_M1","RC0402FR-0710K5L","TopLayer","RES-0402","2810.000","4075.000","90","RES 10.5K OHM 1% 1/16W 0402"
"R10_M0","RC0402FR-0710K5L","TopLayer","RES-0402","4075.000","4065.000","90","RES 10.5K OHM 1% 1/16W 0402"
"R7_M2","RC0402FR-07147KL","TopLayer","RES-0402","1505.000","4075.000","270","RES 147K OHM 1% 1/16W 0402"
"R7_M1","RC0402FR-07147KL","TopLayer","RES-0402","2765.000","4075.000","270","RES 147K OHM 1% 1/16W 0402"
"R7_M0","RC0402FR-07147KL","TopLayer","RES-0402","4030.000","4065.000","270","RES 147K OHM 1% 1/16W 0402"
"R6_M2","RC0603FR-07100KL","TopLayer","RES-0603","2085.000","4085.000","270","RES SMD 100K OHM 1% 1/10W 0603"
"R6_M1","RC0603FR-07100KL","TopLayer","RES-0603","3345.000","4085.000","270","RES SMD 100K OHM 1% 1/10W 0603"
"R6_M0","RC0603FR-07100KL","TopLayer","RES-0603","4610.000","4075.000","270","RES SMD 100K OHM 1% 1/10W 0603"
"R5_M2","RC0402FR-071KL","TopLayer","RES-0402","2240.000","3464.685","90","RES 1K OHM 1% 1/16W 0402"
"R5_M1","RC0402FR-071KL","TopLayer","RES-0402","3500.000","3464.685","90","RES 1K OHM 1% 1/16W 0402"
"R5_M0","RC0402FR-071KL","TopLayer","RES-0402","4765.000","3454.685","90","RES 1K OHM 1% 1/16W 0402"
"R4_M2","RC0603FR-072M15L","TopLayer","RES-0603","2220.000","4005.000","270","RES SMD 2.15M OHM 1% 1/10W 0603"
"R4_M1","RC0603FR-072M15L","TopLayer","RES-0603","3480.000","4005.000","270","RES SMD 2.15M OHM 1% 1/10W 0603"
"R4_M0","RC0603FR-072M15L","TopLayer","RES-0603","4745.000","3995.000","270","RES SMD 2.15M OHM 1% 1/10W 0603"
"R3_M2","RC0402FR-07240RL","TopLayer","RES-0402","2240.000","3549.685","270","240R 0.063W 1% 0402 (1005 Metric)  SMD"
"R3_M1","RC0402FR-07240RL","TopLayer","RES-0402","3500.000","3549.685","270","240R 0.063W 1% 0402 (1005 Metric)  SMD"
"R3_M0","RC0402FR-07240RL","TopLayer","RES-0402","4765.000","3539.685","270","240R 0.063W 1% 0402 (1005 Metric)  SMD"
"I2","LM1117MPX-5.0/NOPB","TopLayer","IC-SOT-223-4","5310.000","2880.000","270","IC REG LINEAR 5V 800MA SOT223-4"
"I1","LM1117IMPX-3.3/NOPB","TopLayer","IC-SOT-223-4","5771.496","2875.000","270","IC REG LIN 3.3V 800MA SOT223-4"
"F1_M2","01550900M","TopLayer","FUSE-0001","2375.000","4100.000","270","FUSE BLOK CARTRIDGE 125V 10A SMD"
"F1_M1","01550900M","TopLayer","FUSE-0001","3635.000","4100.000","270","FUSE BLOK CARTRIDGE 125V 10A SMD"
"F1_M0","01550900M","TopLayer","FUSE-0001","4900.000","4090.000","270","FUSE BLOK CARTRIDGE 125V 10A SMD"
"D21","BL-HKC36G-AV-TRB","TopLayer","LED-0603","5237.163","3963.305","270","LED YELLOW CLEAR 0603 SMD"
"D20","SS1200","TopLayer","SMA_DIO","5550.000","3740.000","180","DIODE SCHOTTKY 200V 1A SMA"
"D3_M2","PDS760-13","TopLayer","DO-POWERDI5","1749.055","3835.000","180","DIODE SCHOTTKY 60V 7A POWERDI5"
"D3_M1","PDS760-13","TopLayer","DO-POWERDI5","3009.055","3835.000","180","DIODE SCHOTTKY 60V 7A POWERDI5"
"D3_M0","PDS760-13","TopLayer","DO-POWERDI5","4274.055","3825.000","180","DIODE SCHOTTKY 60V 7A POWERDI5"
"D2_M2","BL-HKC36G-AV-TRB","TopLayer","LED-0603","2328.305","3570.425","180","LED YELLOW CLEAR 0603 SMD"
"D2_M1","BL-HKC36G-AV-TRB","TopLayer","LED-0603","3588.305","3570.425","180","LED YELLOW CLEAR 0603 SMD"
"D2_M0","BL-HKC36G-AV-TRB","TopLayer","LED-0603","4853.305","3560.425","180","LED YELLOW CLEAR 0603 SMD"
"C46","293D106X9016A2TE3","TopLayer","CAP-1210","5250.000","2520.000","0","CAP TANT 10UF 10% 16V 1206"
"C45","293D106X9016A2TE3","TopLayer","CAP-1210","5310.000","3105.000","180","CAP TANT 10UF 10% 16V 1206"
"C44","293D106X9016A2TE3","TopLayer","CAP-1210","5716.496","2520.000","0","CAP TANT 10UF 10% 16V 1206"
"C42","CC0603KRX7R0BB104","TopLayer","CAP-0603","5370.000","2620.000","180","CAP CER 0.1UF 100V X7R 0603"
"C41","CC0805JRNPO9BN471","TopLayer","CAP-0805","5235.000","2625.000","0","CAP CER 470PF 50V C0G/NPO 0805"
"C40","CC0402KRX7R7BB104","TopLayer","CAP-0402","5245.000","2695.000","0","CAP CER 0.1UF 16V X7R 0402"
"C39","CC0603KRX5R6BB106","TopLayer","CAP-0603","5370.000","2685.000","180","CAP CER 10UF 10V X5R 0603"
"C38","C5750X5R1A686MT000N","TopLayer","CAP-1210","5857.588","3305.000","270","CAP CER 68UF 10V X5R 2220"
"C37","C5750X5R1A686MT000N","TopLayer","CAP-1210","5722.588","3305.000","270","CAP CER 68UF 10V X5R 2220"
"C36","GRM155R71H391KA01D","TopLayer","CAP-0402","5032.588","4016.496","90","CAP CER 390PF 50V X7R 0402"
"C35","CC0603KRX7R0BB104","TopLayer","CAP-0603","5836.496","2685.000","180","CAP CER 0.1UF 100V X7R 0603"
"C33","CL32B106KBJNNNE","TopLayer","CAP-1210","6082.588","3840.000","90","CAP CER 10UF 50V X7R 1210"
"C32","CC0402KRX7R7BB104","TopLayer","CAP-0402","5711.496","2690.000","0","CAP CER 0.1UF 16V X7R 0402"
"C31","CC0603KRX5R6BB106","TopLayer","CAP-0603","5836.496","2620.000","180","CAP CER 10UF 10V X5R 0603"
"C30","CC0603KRX7R0BB104","TopLayer","CAP-0603","5757.588","3790.000","180","CAP CER 0.1UF 100V X7R 0603"
"C28_M2","CC0603CRNPO0BN6R8","TopLayer","CAP-0603","1640.000","4010.000","90","CAP CER 6.8PF 100V C0G/NPO 0603"
"C28_M1","CC0603CRNPO0BN6R8","TopLayer","CAP-0603","2900.000","4010.000","90","CAP CER 6.8PF 100V C0G/NPO 0603"
"C28_M0","CC0603CRNPO0BN6R8","TopLayer","CAP-0603","4165.000","4000.000","90","CAP CER 6.8PF 100V C0G/NPO 0603"
"C27_M2","GRM2165C1H272JA01D","TopLayer","CAP-0805","2015.000","4100.000","270","CAP CER 2700PF 50V C0G/NP0 0805"
"C27_M1","GRM2165C1H272JA01D","TopLayer","CAP-0805","3275.000","4100.000","270","CAP CER 2700PF 50V C0G/NP0 0805"
"C27_M0","GRM2165C1H272JA01D","TopLayer","CAP-0805","4540.000","4090.000","270","CAP CER 2700PF 50V C0G/NP0 0805"
"C26_M2","16SVPG47M","TopLayer","CAP-47U-0001","2040.000","3375.000","270","CAP ALUM POLY 47UF 20% 16V SMD"
"C26_M1","16SVPG47M","TopLayer","CAP-47U-0001","3300.000","3375.000","270","CAP ALUM POLY 47UF 20% 16V SMD"
"C26_M0","16SVPG47M","TopLayer","CAP-47U-0001","4565.000","3365.000","270","CAP ALUM POLY 47UF 20% 16V SMD"
"C25_M2","CC1206KKX7R0BB225","TopLayer","CAP-1206","2310.000","3790.000","90","CAP CER 2.2UF 100V X7R 1206"
"C25_M1","CC1206KKX7R0BB225","TopLayer","CAP-1206","3570.000","3790.000","90","CAP CER 2.2UF 100V X7R 1206"
"C25_M0","CC1206KKX7R0BB225","TopLayer","CAP-1206","4835.000","3780.000","90","CAP CER 2.2UF 100V X7R 1206"
"C24_M2","CC1206KKX7R0BB225","TopLayer","CAP-1206","2215.000","3815.000","90","CAP CER 2.2UF 100V X7R 1206"
"C24_M1","CC1206KKX7R0BB225","TopLayer","CAP-1206","3475.000","3815.000","90","CAP CER 2.2UF 100V X7R 1206"
"C24_M0","CC1206KKX7R0BB225","TopLayer","CAP-1206","4740.000","3805.000","90","CAP CER 2.2UF 100V X7R 1206"
"C23_M2","CC0402KRX7R7BB104","TopLayer","CAP-0402","1925.000","3920.000","180","CAP CER 0.1UF 16V X7R 0402"
"C23_M1","CC0402KRX7R7BB104","TopLayer","CAP-0402","3185.000","3920.000","180","CAP CER 0.1UF 16V X7R 0402"
"C23_M0","CC0402KRX7R7BB104","TopLayer","CAP-0402","4450.000","3910.000","180","CAP CER 0.1UF 16V X7R 0402"
"C22_M2","CC0402JRNPO9BN100","TopLayer","CAP-0402","1960.000","3070.000","90","CAP CER 10PF 50V C0G/NPO 0402"
"C22_M1","CC0402JRNPO9BN100","TopLayer","CAP-0402","3220.000","3070.000","90","CAP CER 10PF 50V C0G/NPO 0402"
