Designator,Comment,Layer,Footprint,Mid X,Mid Y,Rotation,Description
X11,"Molex - Micro-Fit 3.0 Series connector,  3.00mm (0.118) pitch header"," 4 positions.""",Top,43045-0400,0.919,29.3,270
X10,"Molex - Micro-Fit 3.0 Series connector,  3.00mm (0.118) pitch header"," 2 positions.""",Top,43650-0200,29.1,-0.54,0
R2,RESC1607X60N,BottomLayer,RESC1607X60N,67.4,22.8,0,0 Ohms Jumper Chip Resistor 0603 (1608 Metric) Moisture Resistant Thick Film
24V_FUSE,01550900M,Top,FUSE-0001,16.1,24.7,270,FUSE BLOK CARTRIDGE 125V 10A SMD
X8,"Molex - Micro-Fit 3.0 Series connector,  3.00mm (0.118) pitch header"," 2 positions.""",Top,43045-0200,0.919,45.131,270
X6,Molex 43650-0300,Top,43650-0300,89.56,25.2,90,Molex 43650-0300
X5,Molex 43650-0300,Top,43650-0300,89.56,11.3,90,Molex 43650-0300
X4,Molex 43045-0600,Top,43045-0600,61.1,0.96,0,Molex 43045-0600
X3,"Molex - Micro-Fit 3.0 Series connector,  3.00mm (0.118) pitch header"," 4 positions.""",Top,43045-0400,87.96,37.7999,90
X2,Molex 43045-0600,Top,43045-0600,76.4,0.96,0,Molex 43045-0600
X1,"Molex - Micro-Fit 3.0 Series connector,  3.00mm (0.118) pitch header"," 4 positions.""",Top,43045-0400,87.96,49.2001,90
VBAT_LDOS,5003,Top,TEST-POINT-0001,35.3485,49.9485,180,"Oranange PC Test Point, Miniature Phoisphor Bronze Silver Plating Through Hole Mounting Type"
VBAT_FUSED,5003,Top,TEST-POINT-0001,23,39,90,"Oranange PC Test Point, Miniature Phoisphor Bronze Silver Plating Through Hole Mounting Type"
VBAT,5003,Top,TEST-POINT-0001,30.7,50.5,90,"Oranange PC Test Point, Miniature Phoisphor Bronze Silver Plating Through Hole Mounting Type"
U8,TPS54561DPRR,Top,IC-10WSON,40.85,43.607,0,IC REG BUCK ADJ 5A 10WSON
U7,TPS54561DPRR,Top,IC-10WSON,24.497,30.018,0,IC REG BUCK ADJ 5A 10WSON
U6,SN74LVC2G157DCUR,Top,IC-8VSSOP,7.15,12.566,0,Multiplexer 1 x 2:1 8-VSSOP
U5,SN74LVC2G157DCUR,Top,IC-8VSSOP,50.55,13.05,0,Multiplexer 1 x 2:1 8-VSSOP
U4,UCC27282DRCR,Top,IC-10VSON,43.6,8.816,0,IC GATE DRVR HALF-BRIDGE 10VSON
U3,TCAN1044VDRQ1,Top,IC-8SOIC,74.8,14.4,270,IC TRANSCEIVER 1/1 8SOIC
U2,STM32G431CBT6,Top,IC-LQFP48,62.949,22.122,270,IC MCU 32BIT 128KB FLASH 48LQFP
U1,UCC27282DRCR,Top,IC-10VSON,14.2,8.816,180,IC GATE DRVR HALF-BRIDGE 10VSON
SW_12V,5003,Top,TEST-POINT-0001,29.3,39.1,90,"Oranange PC Test Point, Miniature Phoisphor Bronze Silver Plating Through Hole Mounting Type"
SW_7V,5003,Top,TEST-POINT-0001,47.9,52.7,90,"Oranange PC Test Point, Miniature Phoisphor Bronze Silver Plating Through Hole Mounting Type"
R44,RC0603FR-07100KL,Top,RES-0603,8.2,38.1,90,RES SMD 100K OHM 1% 1/10W 0603
R43,RC0603FR-07200KL,Top,RES-0603,9,35.8,180,RES SMD 200K OHM 1% 1/10W 0603
R42,RC0402FR-0710KL,Top,RES-0402,37.7,22.5,0,RES 10K OHM 1% 1/16W 0402
R41,C337220,Top,RES-2512,23.4,20,0,2512 Chip Resistor - Surface Mount ROHS
R40,C337220,Top,RES-2512,28.9,18.2,90,2512 Chip Resistor - Surface Mount ROHS
R39,C337220,Top,RES-2512,28.9,23.6,270,2512 Chip Resistor - Surface Mount ROHS
R38,RC0603FR-07100KL,Top,RES-0603,12.94,51.227,90,RES SMD 100K OHM 1% 1/10W 0603
R37,RC0603FR-07200KL,Top,RES-0603,12.94,47.963,90,RES SMD 200K OHM 1% 1/10W 0603
R36,RT0805BRD0710K4L,Top,RES-0805,42.755,40.559,180,"10.4 kOhms ±0.1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Thin Film"
R35,RC0402FR-0736K5L,Top,RES-0402,47.87,42.718,180,"36.5 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"
R34,RTT021783FTH,Top,RES-0402,39.453,40.559,0,62.5mW Thick Film Resistors 50V ±100ppm/? ±1% 178kO 0402 Chip Resistor - Surface Mount ROHS
R33,RC0603FR-07100KL,BottomLayer,RES-0603,35.9,40.5,270,RES SMD 100K OHM 1% 1/10W 0603
R32,RC0402FR-0780K6L,Top,RES-0402,47.6,40.5,180,"80.6 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"
R31,RC0603FR-072M15L,BottomLayer,RES-0603,34.4,42.1,270,RES SMD 2.15M OHM 1% 1/10W 0603
R30,RC0402FR-071KL,Top,RES-0402,54.558,36.803,180,RES 1K OHM 1% 1/16W 0402
R29,RC0402FR-07240RL,Top,RES-0402,57,36.8,0,240R 0.063W 1% 0402 (1005 Metric)  SMD
R28,RC0402FR-0710K5L,Top,RES-0402,25.6,27.1,180,RES 10.5K OHM 1% 1/16W 0402
R27,RC0402FR-0759KL,Top,RES-0402,30.577,28.748,0,RES 59K OHM 1% 1/16W 0402
R26,RC0603FR-07100KL,BottomLayer,RES-0603,16.623,29.472,270,RES SMD 100K OHM 1% 1/10W 0603
R25,RTT021783FTH,Top,RES-0402,23.1,27.2,0,62.5mW Thick Film Resistors 50V ±100ppm/? ±1% 178kO 0402 Chip Resistor - Surface Mount ROHS
R24,RC0402FR-07147KL,Top,RES-0402,27.7,27.1,180,RES 147K OHM 1% 1/16W 0402
R23,RC0603FR-072M15L,BottomLayer,RES-0603,16.623,32.469,270,RES SMD 2.15M OHM 1% 1/10W 0603
R22,RC0402FR-071KL,Top,RES-0402,54.669,31.05,180,RES 1K OHM 1% 1/16W 0402
R21,RC0402FR-07240RL,Top,RES-0402,57,31,0,240R 0.063W 1% 0402 (1005 Metric)  SMD
R20,RC0402FR-07100RL,Top,RES-0402,8.3,10.816,180,RES 100 OHM 1% 1/16W 0402
R19,RC0402FR-07100RL,Top,RES-0402,51.8,11.4,180,RES 100 OHM 1% 1/16W 0402
R18,RC0402FR-7W33RL,Top,RES-0402,44.2,3.2,180,RES 33 OHM 1% 1/8W 0402
R17,RC0402FR-7W33RL,Top,RES-0402,13.4,5.416,0,RES 33 OHM 1% 1/8W 0402
R16,RC0402FR-7W33RL,Top,RES-0402,46.3,3.2,0,RES 33 OHM 1% 1/8W 0402
R15,RC0402FR-7W33RL,Top,RES-0402,11.3,5.416,180,RES 33 OHM 1% 1/8W 0402
R14,RC0402FR-7W33RL,Top,RES-0402,42.2,14.016,270,RES 33 OHM 1% 1/8W 0402
R13,RC0402FR-7W33RL,Top,RES-0402,15.6,13.2,270,RES 33 OHM 1% 1/8W 0402
R12,RC0402FR-7W33RL,Top,RES-0402,42.2,16.216,90,RES 33 OHM 1% 1/8W 0402
R11,RC0402FR-7W33RL,Top,RES-0402,15.6,16.216,90,RES 33 OHM 1% 1/8W 0402
R10,ERJ2GEJ1R0X,BottomLayer,RES-0402,41.3,14.5,90,RES SMD 1 OHM 5% 1/10W 0402
R9,RC0402FR-07470RL,Top,RES-0402,48.733,22.416,180,RES 470 OHM 1% 1/16W 0402
R8,RC0402FR-07100RL,Top,RES-0402,48.733,23.813,180,RES 100 OHM 1% 1/16W 0402
R7,RC0402FR-07470RL,Top,RES-0402,44.548,19.164,180,RES 470 OHM 1% 1/16W 0402
R6,RC0402FR-07100RL,Top,RES-0402,44.556,20.815,180,RES 100 OHM 1% 1/16W 0402
R5,RC1210FR-07120RL,Top,RES-1210,80.3,14.4,270,RES 120 OHM 1% 1/2W 1210
R4,RC0603FR-074K7L,BottomLayer,RES-0603,76.4,7.7,90,RES 4.7K OHM 1% 1/10W 0603
R3,RC0603FR-074K7L,BottomLayer,RES-0603,73.4,7.6,90,RES 4.7K OHM 1% 1/10W 0603
R1,ERJ2GEJ1R0X,BottomLayer,RES-0402,11.6,14.2,90,RES SMD 1 OHM 5% 1/10W 0402
Q10,CSD18543Q3AT,Top,IC-8VSONCLIP,2.0001,37.0749,90,MOSFET N-CH 60V 12A/60A 8VSON
Q9,CSD18543Q3AT,Top,IC-8VSONCLIP,9.9249,51.8999,0,MOSFET N-CH 60V 12A/60A 8VSON
Q8,"T2N7002AK,LM",Top,IC-SOT23-3,55.058,34.336,270,MOSFET N-CH 60V 200MA SOT23
Q7,"T2N7002AK,LM",Top,IC-SOT23-3,55.1,28.7,270,MOSFET N-CH 60V 200MA SOT23
Q6,CSD17575Q3,Top,IC-8VSONCLIP,38.8399,4.316,90,MOSFET N-CH 30V 60A 8VSON
Q5,CSD17575Q3,Top,IC-8VSONCLIP,19.077,4.279,270,MOSFET N-CH 30V 60A 8VSON
Q4,CSD17575Q3,Top,IC-8VSONCLIP,34.2249,10.793,0,MOSFET N-CH 30V 60A 8VSON
Q3,"T2N7002AK,LM",Top,IC-SOT23-3,51.4,21.4,270,MOSFET N-CH 60V 200MA SOT23
Q2,"T2N7002AK,LM",Top,IC-SOT23-3,47.3,18.1,270,MOSFET N-CH 60V 200MA SOT23
Q1,CSD17575Q3,Top,IC-8VSONCLIP,23.437,10.793,0,MOSFET N-CH 30V 60A 8VSON
M-,5003,Top,TEST-POINT-0001,36.8,-2.416,270,"Oranange PC Test Point, Miniature Phoisphor Bronze Silver Plating Through Hole Mounting Type"
M+,5003,Top,TEST-POINT-0001,21.4,-2.416,270,"Oranange PC Test Point, Miniature Phoisphor Bronze Silver Plating Through Hole Mounting Type"
L2,IHLP2525CZER100M11,Top,IND_IHLP_2525_CZ_VIS,53.731,45.893,90,IHLP-2525CZ-11 10 20% ER E3
L1,CSAD1010-150M,Top,IND-15U-0002,38.887,32.048,0,SMD MOLDING POWER CHOKE
J4,FTSH-107-01-L-DV-K,Top,SAMTEC_FTSH-107-01-L-DV-K,72.4,53.3,180,"Connector Header Surface Mount 14 position 0.050 (1.27mm)"""
I2,LM1117MPX-5.0/NOPB,Top,IC-SOT-223-4,64.288,45.79,0,IC REG LINEAR 5V 800MA SOT223-4
I1,LM1117IMPX-3.3/NOPB,Top,IC-SOT-223-4,62.973,37.46,270,IC REG LIN 3.3V 800MA SOT223-4
GND,5003,Top,TEST-POINT-0001,30.8,54.4,90,"Oranange PC Test Point, Miniature Phoisphor Bronze Silver Plating Through Hole Mounting Type"
FB_12V,5003,Top,TEST-POINT-0001,25.4,24.5,90,"Oranange PC Test Point, Miniature Phoisphor Bronze Silver Plating Through Hole Mounting Type"
FB_7V,5003,Top,TEST-POINT-0001,45.4,38.3,90,"Oranange PC Test Point, Miniature Phoisphor Bronze Silver Plating Through Hole Mounting Type"
7V_FUSE,01550900M,Top,FUSE-0001,27.6,44.5,0,FUSE BLOK CARTRIDGE 125V 10A SMD
12V_FUSE,01550900M,Top,FUSE-0001,18.274,39.4287,270,FUSE BLOK CARTRIDGE 125V 10A SMD
F1,0467.250NRHF,BottomLayer,RES-0603,79.4,7.7,270,FUSE BRD MT 250MA 32VAC 32VDC
EN_12V,5003,Top,TEST-POINT-0001,21.7,24.5,90,"Oranange PC Test Point, Miniature Phoisphor Bronze Silver Plating Through Hole Mounting Type"
EN_7V,5003,Top,TEST-POINT-0001,33.4,39.1,90,"Oranange PC Test Point, Miniature Phoisphor Bronze Silver Plating Through Hole Mounting Type"
D22,SMBJ40CA,Top,DO-214AA_(SMBJ),12.813,36.021,90,TVS DIODE 40VWM 64.5VC DO214AA
D21,SMBJ40CA,Top,DO-214AA_(SMBJ),16.496,49.61,90,TVS DIODE 40VWM 64.5VC DO214AA
D20,PDS760-13,Top,DO-POWERDI5,44.691,48.82,0,DIODE SCHOTTKY 60V 7A POWERDI5
7V_PGOOD,BL-HKC36G-AV-TRB,Top,LED-0603,57.5,34.7509,90,LED YELLOW CLEAR 0603 SMD
D18,PDS760-13,Top,DO-POWERDI5,27.442,34.971,0,DIODE SCHOTTKY 60V 7A POWERDI5
12V_PGOOD,BL-HKC36G-AV-TRB,Top,LED-0603,57.5,29.0509,90,LED YELLOW CLEAR 0603 SMD
MDIR_1,BL-HKC36G-AV-TRB,Top,LED-0603,5.9491,10.816,0,LED YELLOW CLEAR 0603 SMD
MDIR_2,BL-HKC36G-AV-TRB,Top,LED-0603,49.4491,11.4,0,LED YELLOW CLEAR 0603 SMD
D14,SMBJ12CA,Top,DO-214AA_(SMBJ),51.6,1.166,270,TVS DIODE 12VWM 19.9VC DO214AA
D13,SMBJ12CA,Top,DO-214AA_(SMBJ),6.466,7.716,180,TVS DIODE 12VWM 19.9VC DO214AA
D12,"PMEG6030EP,115",Top,DIO-SOD128,39.7,1.016,270,DIODE SCHOTTKY 60V 3A SOD128
D11,"PMEG6030EP,115",Top,DIO-SOD128,18.1,1.016,90,DIODE SCHOTTKY 60V 3A SOD128
D10,"PMEG6030EP,115",Top,DIO-SOD128,46.2,1,90,DIODE SCHOTTKY 60V 3A SOD128
D9,"PMEG6030EP,115",Top,DIO-SOD128,11.8,3.316,270,DIODE SCHOTTKY 60V 3A SOD128
D8,SMBJ12CA,Top,DO-214AA_(SMBJ),38.5,12.566,270,TVS DIODE 12VWM 19.9VC DO214AA
D7,SMBJ12CA,Top,DO-214AA_(SMBJ),19.2,12.582,270,TVS DIODE 12VWM 19.9VC DO214AA
D6,"PMEG6030EP,115",Top,DIO-SOD128,30.6,11.9,180,DIODE SCHOTTKY 60V 3A SOD128
D5,"PMEG6030EP,115",Top,DIO-SOD128,27.2,11.9,180,DIODE SCHOTTKY 60V 3A SOD128
D4,"PMEG6030EP,115",Top,DIO-SOD128,44.2,14.516,180,DIODE SCHOTTKY 60V 3A SOD128
D3,"PMEG6030EP,115",Top,DIO-SOD128,13.6,14.516,180,DIODE SCHOTTKY 60V 3A SOD128
CAN_RX,BL-HKC36G-AV-TRB,Top,LED-0603,51.4381,23.813,180,LED YELLOW CLEAR 0603 SMD
CAN_TX,BL-HKC36G-AV-TRB,Top,LED-0603,47.3801,20.815,180,LED YELLOW CLEAR 0603 SMD
C86,8.60041E+11,Top,WCAP-ATUL_8X11.5(DXL),5.3,18.8,0,"100 µF 50 V Aluminum Electrolytic Capacitors Radial, Can 7000 Hrs @ 105°C"
C85,CC0402JRNPO9BN100,BottomLayer,CAP-0402,9.638,26.97,270,CAP CER 10PF 50V C0G/NPO 0402
C84,CC0402JRNPO9BN101,BottomLayer,CAP-0402,10.781,26.97,270,CAP CER 100PF 50V C0G/NPO 0402
C83,CC0402KRX7R9BB102,BottomLayer,CAP-0402,11.924,26.97,270,CAP CER 1000PF 50V X7R 0402
C82,GRM2195C1H103JA01D,BottomLayer,CAP-0805,14.464,31.712,90,CAP CER 10000PF 50V C0G/NP0 0805
C81,CC0805KRX7R9BB104,BottomLayer,CAP-0805,12.559,31.712,90,CAP CER 0.1UF 50V X7R 0805
C80,CC0805KKX7R9BB105,BottomLayer,CAP-0805,10.654,31.712,90,CAP CER 1UF 50V X7R 0805
C79,CL32B106KBJNNNE,BottomLayer,CAP-1210,14.21,27.661,270,CAP CER 10UF 50V X7R 1210
C78,CC0603KRX7R0BB104,Top,CAP-0603,38.4,20.5,90,CAP CER 0.1UF 100V X7R 0603
C77,8.60041E+11,Top,WCAP-ATUL_8X11.5(DXL),23.9,53,270,"100 µF 50 V Aluminum Electrolytic Capacitors Radial, Can 7000 Hrs @ 105°C"
C76,CC0402JRNPO9BN100,BottomLayer,CAP-0402,13.194,45.766,90,CAP CER 10PF 50V C0G/NPO 0402
C75,CC0402JRNPO9BN101,BottomLayer,CAP-0402,14.718,45.766,90,CAP CER 100PF 50V C0G/NPO 0402
C74,CC0402KRX7R9BB102,BottomLayer,CAP-0402,16.115,45.766,90,CAP CER 1000PF 50V X7R 0402
C73,GRM2195C1H103JA01D,BottomLayer,CAP-0805,13.575,41.956,270,CAP CER 10000PF 50V C0G/NP0 0805
C72,CC0805KRX7R9BB104,BottomLayer,CAP-0805,15.607,41.956,270,CAP CER 0.1UF 50V X7R 0805
C71,CC0805KKX7R9BB105,BottomLayer,CAP-0805,17.766,41.956,270,CAP CER 1UF 50V X7R 0805
C70,CL32B106KBJNNNE,BottomLayer,CAP-1210,18.274,46.076,90,CAP CER 10UF 50V X7R 1210
C69,GRM1885C1H302JA01D,Top,CAP-0603,47.616,44.115,180,"3000 pF ±5% 50V Ceramic Capacitor C0G, NP0 0603 (1608 Metric)"
C68,CC0603CRNPO0BN6R8,Top,CAP-0603,45.3,43.3,90,CAP CER 6.8PF 100V C0G/NPO 0603
C67,CC0402JRNPO9BN100,BottomLayer,CAP-0402,58.176,39.797,270,CAP CER 10PF 50V C0G/NPO 0402
C66,CC0402JRNPO9BN101,BottomLayer,CAP-0402,57.033,39.797,270,CAP CER 100PF 50V C0G/NPO 0402
C65,CC0402KRX7R9BB102,BottomLayer,CAP-0402,55.89,39.797,270,CAP CER 1000PF 50V X7R 0402
C64,GRM2195C1H103JA01D,BottomLayer,CAP-0805,50.683,39.661,270,CAP CER 10000PF 50V C0G/NP0 0805
C63,CC0805KRX7R9BB104,BottomLayer,CAP-0805,52.588,39.661,270,CAP CER 0.1UF 50V X7R 0805
C62,CC0805KKX7R9BB105,BottomLayer,CAP-0805,54.366,39.652,270,CAP CER 1UF 50V X7R 0805
C61,CL32B106KBJNNNE,BottomLayer,CAP-1210,45.149,42.337,90,CAP CER 10UF 50V X7R 1210
